2023-03-08 08:47:23.661Z | Internal            | Logger         | Started logging. Game version: 12.0.2, private beta: NO.
2023-03-08 08:47:30.224Z | Connection update   | Networking     | 76561198069178724@steam preauthenticated from endpoint 73.220.221.251:65446.
2023-03-08 08:47:30.260Z | Connection update   | Networking     | 76561198040779291@steam preauthenticated from endpoint 185.216.201.36:50015.
2023-03-08 08:47:30.413Z | Connection update   | Networking     | 76561198170133703@steam preauthenticated from endpoint 134.114.223.254:58344.
2023-03-08 08:47:30.434Z | Connection update   | Networking     | 76561198027561465@steam preauthenticated from endpoint 162.157.85.208:52835.
2023-03-08 08:47:30.725Z | Connection update   | Networking     | 76561198057006321@steam preauthenticated from endpoint 73.66.121.218:51655.
2023-03-08 08:47:31.060Z | Connection update   | Networking     | 76561198059487799@steam preauthenticated from endpoint 76.144.31.151:65169.
2023-03-08 08:47:31.082Z | Connection update   | Networking     | 76561198129048837@steam preauthenticated from endpoint 68.59.76.46:55173.
2023-03-08 08:47:31.231Z | Connection update   | Networking     | 76561198049007127@steam preauthenticated from endpoint 65.99.39.41:59999.
2023-03-08 08:47:36.928Z | Connection update   | Networking     | 76561198027561465@steam authenticated from endpoint 162.157.85.208:52835. Player ID assigned: 17. Auth token serial number: SmzhW7CaaC4PEJEz
2023-03-08 08:47:36.995Z | Connection update   | Networking     | Nickname of 76561198027561465@steam is now Affle.
2023-03-08 08:47:37.256Z | Connection update   | Networking     | 76561198040779291@steam authenticated from endpoint 185.216.201.36:50015. Player ID assigned: 8. Auth token serial number: 8vE64MncMWJm9yHW
2023-03-08 08:47:37.323Z | Connection update   | Networking     | 76561198170133703@steam authenticated from endpoint 134.114.223.254:58344. Player ID assigned: 5. Auth token serial number: 5bX1jBK1TfVdh6EQ
2023-03-08 08:47:37.358Z | Connection update   | Networking     | Nickname of 76561198040779291@steam is now [FERNO].
2023-03-08 08:47:37.358Z | Connection update   | Networking     | Player [connId=9] (CharacterClassManager)) connected from IP 185.216.201.36 sent Do Not Track signal.
2023-03-08 08:47:37.411Z | Connection update   | Networking     | Nickname of 76561198170133703@steam is now SpectaKoo.
2023-03-08 08:47:37.969Z | Connection update   | Networking     | 76561198057006321@steam authenticated from endpoint 73.66.121.218:51655. Player ID assigned: 4. Auth token serial number: BmWPYTHB5gc8tcMi
2023-03-08 08:47:38.036Z | Connection update   | Networking     | Nickname of 76561198057006321@steam is now Voidpuddle.
2023-03-08 08:47:38.036Z | Connection update   | Networking     | Player [connId=16] (CharacterClassManager)) connected from IP 73.66.121.218 sent Do Not Track signal.
2023-03-08 08:47:38.108Z | Connection update   | Networking     | 76561198069178724@steam authenticated from endpoint 73.220.221.251:65446. Player ID assigned: 2. Auth token serial number: 5qz7xll6CpPV0Ekn
2023-03-08 08:47:38.175Z | Connection update   | Networking     | Nickname of 76561198069178724@steam is now Cole.
2023-03-08 08:47:38.564Z | Connection update   | Networking     | 76561198059487799@steam authenticated from endpoint 76.144.31.151:65169. Player ID assigned: 19. Auth token serial number: /bxvKv7w177MkEzz
2023-03-08 08:47:38.613Z | Connection update   | Networking     | Nickname of 76561198059487799@steam is now Cake_.
2023-03-08 08:47:38.616Z | Connection update   | Permissions    | Cake_ (76561198059487799@steam) has been assigned to group SERVER OWNER.
2023-03-08 08:47:39.504Z | Connection update   | Networking     | 76561198049007127@steam authenticated from endpoint 65.99.39.41:59999. Player ID assigned: 13. Auth token serial number: JwoRHQD6fLGy2eZk
2023-03-08 08:47:39.654Z | Connection update   | Networking     | Nickname of 76561198049007127@steam is now I AM STRANGLO.
2023-03-08 08:47:39.656Z | Connection update   | Permissions    | I AM STRANGLO (76561198049007127@steam) has been assigned to group ADMIN.
2023-03-08 08:47:40.310Z | Connection update   | Networking     | 76561198129048837@steam authenticated from endpoint 68.59.76.46:55173. Player ID assigned: 16. Auth token serial number: OaKxm4GcesLCRl0z
2023-03-08 08:47:40.444Z | Connection update   | Networking     | Nickname of 76561198129048837@steam is now Asmosnos.
2023-03-08 08:47:40.444Z | Connection update   | Networking     | Player [connId=10] (CharacterClassManager)) connected from IP 68.59.76.46 sent Do Not Track signal.
